taxonUUID,taxonRank,kingdom,simplifiedScientificName,scientificName,dup_simplifiedGlobal,dup_simplifiedKingdom,dup_scientificKingdom,TT_URL
50ecf301-9744-4e4d-9ae0-db64e3258b9c,genus,Animalia,Pieris,Pieris,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/50ecf301-9744-4e4d-9ae0-db64e3258b9c
62b8c414-1676-4ddd-ab3e-14549a4394f7,genus,Animalia,Thunbergia,Thunbergia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/62b8c414-1676-4ddd-ab3e-14549a4394f7
817c644e-2723-4bc9-9c18-d07200e21e53,genus,Animalia,Aquarius,Aquarius,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/817c644e-2723-4bc9-9c18-d07200e21e53
b8baa300-6488-47a9-af83-326b5b502506,genus,Animalia,Platypleura,Platypleura,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/b8baa300-6488-47a9-af83-326b5b502506
8ae4b103-4604-4191-9682-37345cadafe6,genus,Animalia,Kerria,Kerria,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/8ae4b103-4604-4191-9682-37345cadafe6
c03212b9-03b5-44d5-9b1e-525c411b2e98,genus,Animalia,Agathis,Agathis,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/c03212b9-03b5-44d5-9b1e-525c411b2e98
8dd5db2c-c0bb-4417-ba5f-c58b72f86c22,genus,Animalia,Taiwania,Taiwania,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/8dd5db2c-c0bb-4417-ba5f-c58b72f86c22
97d304a2-6b24-4be4-b035-d54ad83437c8,genus,Animalia,Prosopis,Prosopis,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/97d304a2-6b24-4be4-b035-d54ad83437c8
41230070-2510-4f5b-a499-0a237cdbd468,genus,Animalia,Ormosia,Ormosia,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/41230070-2510-4f5b-a499-0a237cdbd468
f64c3c38-9a3a-4004-8136-6ab4d06cf5fd,genus,Animalia,Ganonema,Ganonema,TRUE,FALSE,FALSE,https://taxatree.tbn.org.tw/taxa/f64c3c38-9a3a-4004-8136-6ab4d06cf5fd
