taxonUUID,taxonRank,parentUUID,simplifiedScientificName,kingdom,class,number_of_occurrence,TT_URL
18bd1d1b-d0ab-4309-bf5f-08f3a60dbd81,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Euphroniaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/18bd1d1b-d0ab-4309-bf5f-08f3a60dbd81
00facceb-68cc-4a3c-bcfc-2bbab492f454,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Humiriaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/00facceb-68cc-4a3c-bcfc-2bbab492f454
0508c3d0-73b5-4929-97b7-3d8012b603c7,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Goupiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/0508c3d0-73b5-4929-97b7-3d8012b603c7
30cb27e4-968e-4658-b936-1a57b5b60817,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Lacistemataceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/30cb27e4-968e-4658-b936-1a57b5b60817
edb7ffbb-8551-4777-80ce-1ba0108b2da4,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Peraceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/edb7ffbb-8551-4777-80ce-1ba0108b2da4
a42d78d0-c5c2-4be4-9c4e-d984c5580630,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Rafflesiaceae,Plantae,Spermatopsida,2,https://taxatree.tbn.org.tw/taxa/a42d78d0-c5c2-4be4-9c4e-d984c5580630
4cd5fe88-12fb-4b67-8c2d-2c1fa59e9695,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Ixonanthaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/4cd5fe88-12fb-4b67-8c2d-2c1fa59e9695
6370a0f5-bd53-4989-a256-7976512db0c4,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Picrodendraceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/6370a0f5-bd53-4989-a256-7976512db0c4
5af9d099-f7be-49aa-b897-de1dd82ac38f,family,9456c517-3ef9-434f-ba64-398b2c769de3,Francoaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/5af9d099-f7be-49aa-b897-de1dd82ac38f
c333de6c-add1-4e34-8954-f03a1e3b8e48,family,26d2ae64-6204-4d67-acb8-981ff1d202da,Vochysiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/c333de6c-add1-4e34-8954-f03a1e3b8e48
abe0ecb0-6337-4950-90ce-37a13b3b70c2,family,26d2ae64-6204-4d67-acb8-981ff1d202da,Crypteroniaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/abe0ecb0-6337-4950-90ce-37a13b3b70c2
eae13773-dc88-4972-946f-8ba62db897c9,family,26d2ae64-6204-4d67-acb8-981ff1d202da,Alzateaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/eae13773-dc88-4972-946f-8ba62db897c9
c7e18d2c-5c37-4346-a936-fc1eaf8e90fe,family,26d2ae64-6204-4d67-acb8-981ff1d202da,Penaeaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/c7e18d2c-5c37-4346-a936-fc1eaf8e90fe
b9f86991-1a7e-4aad-9137-9026c188f1b5,family,759ad8fd-380d-43a4-b25f-cdb37c00adce,Aphloiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/b9f86991-1a7e-4aad-9137-9026c188f1b5
94f08d4a-b310-486d-846f-4565d1dd55bb,family,759ad8fd-380d-43a4-b25f-cdb37c00adce,Geissolomataceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/94f08d4a-b310-486d-846f-4565d1dd55bb
9364e424-7059-4bf1-a11e-7f2a200fdada,family,759ad8fd-380d-43a4-b25f-cdb37c00adce,Strasburgeriaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/9364e424-7059-4bf1-a11e-7f2a200fdada
a19b0a10-4e01-4ff7-865c-e8ad23edfaa4,family,759ad8fd-380d-43a4-b25f-cdb37c00adce,Guamatelaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/a19b0a10-4e01-4ff7-865c-e8ad23edfaa4
