TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_taxon_status
0ff4ffe7-74df-4b74-86cb-f778d75adcef,order,Animalia,t0003052,Echinorhiniformes,accepted
a0f5f4f6-2aa0-409f-854a-e63ff3f014dd,order,Animalia,t0001900,Heterodontiformes,accepted
0c5c9090-1af7-4d17-a2c8-2fab1b7874f0,order,Animalia,t0002177,Squatiniformes,accepted
e8a80449-b354-48b5-96e0-573211e17264,order,Animalia,t0002161,Soricomorpha,accepted
bd544e95-9337-471c-b141-a84e5e6b7157,order,Animalia,t0002124,Rodentia,accepted
48ff9dea-0819-488b-bae4-16dc2d44ea7e,order,Animalia,t0001766,Chiroptera,accepted
252a6ffa-fe2f-4856-ac86-b3866824374d,order,Animalia,t0001757,Cetacea,accepted
71b611bc-60ee-4158-b765-ab7369b49185,order,Animalia,t0001705,Artiodactyla,accepted
66952e88-c5df-47bb-947d-d613e900543d,order,Animalia,t0002098,Primates,accepted
a27e642a-1caf-43c3-a9c9-658e5564ca7e,order,Animalia,t0001743,Carnivora,accepted
2782e741-c2ef-41b4-8cc5-7b94fe1ba415,order,Animalia,t0001928,Lagomorpha,accepted
04a87524-3ed5-495d-ab3e-a5689ba55487,order,Animalia,t0002064,Pholidota,accepted
94978a7c-5d7c-46ff-a16a-3aff16de24cc,order,Animalia,t0001690,Anura,accepted
6ae5aea0-c252-46da-bc4d-6038ec79a0a9,order,Animalia,t0001749,Caudata,accepted
b6fa5d73-b43f-452a-a65b-99c3f45f6b6a,order,Animalia,t0001679,Amphioxiformes,accepted
9f122f84-0c4f-46bc-aa22-63ccdab404fc,order,Animalia,t0002130,Salpida,accepted
90ee431f-1ecf-436d-8b8b-919f0c28c608,order,Animalia,t0001832,Doliolida,accepted
652933e7-62dd-417f-95fe-735ee3c57d8d,order,Animalia,t0003080,Pyrosomatida,accepted
6382c9ac-db0f-43bc-9b90-976606cd8e7d,order,Animalia,t0003038,Aplousobranchia,accepted
0926829f-23f0-46c6-8bba-26a30ac9e4c3,order,Animalia,t0002003,Myxiniformes,accepted
e97cdf80-e8af-4931-be13-1e3172268e5d,order,Animalia,t0003096,Venerida,accepted
1feb1c8e-727d-4c23-9d95-a0fb798f29f8,order,Animalia,t0001700,Arcida,accepted
f5193fb3-5b82-47cd-bc56-91a880c5c428,order,Animalia,t0003079,Pterioida,accepted
e6ef76fc-1e54-4b06-a8a0-5188a2c7bb4e,order,Animalia,t0002158,Solemyoida,accepted
384905fb-7ade-4ae6-9133-c6625958e344,order,Animalia,t0003074,Nuculoida,accepted
2798153b-6bc9-48d2-b991-d27a5cabbe35,order,Animalia,t0003076,Pholadomyoida,accepted
25341c2d-9242-49b3-b8f4-42b242fd2d2e,order,Animalia,t0003070,Mytiloida,deleted
