TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
Homolobus (Apatia),,,
Homolobus (Chartolobus),,,
Homolobus (Homolobus),,,
Homolobus (Oulophus),,,
Homolobus (Phylacter),,,
Pambolus (Phaenodus),,,
Pauesia (Paraphidius),,,
Streblocera (Asiastreblocera),,,
Streblocera (Cosmophoridia),,,
Streblocera (Streblocera),,,
Streblocera (Villocera),,,
Triaspis (Schizoprymnus),,,
Triaspis (Triaspis),,,
Trioxys (Binodoxys),,,
Trioxys (Trioxys),,,
Metopius (Ceratopius),,,
Metopius (Tylopius),,,
Nematopodius (Diapetus),,,
Nematopodius (Microchorus),,,
Netelia (Apatagium),,,
Netelia (Bessobates),,,
Netelia (Netelia),,,
Netelia (Prosthodocis),,,
Phytodietus (Neuchorus),,,
Phytodietus (Phytodietus),,,
Scambus (Ateleophadnus),,,
Scambus (Endromopoda),,,
Scambus (Scambus),,,
Xorides (Cyanoxorides),,,
Xorides (Moerophora),,,
Metopius (Metopius),,,
Polistes (Gyrostoma),,,
Polistes (Polistella),,,
Polistes (Polistes),,,
Ectemnius (Menyllus),,,
Bombus (Pyrobombus),,,
Ceratina (Ceratinidia),,,
Encarsiella,,,
Campsomeris (Campsomeriella),,,
Campsomeris (Megacampsomeris),,,
Campsomeris (Phalerimeris),,,
Scolia (Carinoscolia),,,
Scolia (Discolia),,,
Campsomeris (Micromeris),,,
Scolia (Scolia),,,
Nomia (Acunomia),,,
Nomia (Dinomia),,,
Nomia (Nomia),,,
Nomia (Paranomina),,,
Hydrophylita (Lutzimicron),,,
Bactrocera (Bactrocera),,,
Dacus (Callantra),,,
Euphranta (Euphranta),,,
Euphranta (Rhacochlaena),,,
Urophora (Urophora),,,
Carcelia (Carcelia),,,
Carcelia (Carceliella),,,
Carcelia (Catacarcelia),,,
Carcelia (Euryclea),,,
Carcelia (Senometopia),,,
Aedes (Aedimorphus),,,
Aedes (Cancraedes),,,
Aedes (Finlaya),,,
Aedes (Neomelaniconion),,,
Aedes (Ochrelotatus),,,
Aedes (Scutomyia),,,
Anopheles (Anopheles),,,
Anopheles (Cellia),,,
Armigeres (Armigeres),,,
Armigeres (Leicesteria),,,
Coquillettidia (Coquillettia),,,
Culex (Culex),,,
Culex (Culiciomyia),,,
Culex (Eumelanomyia),,,
Culex (Lophoceraomyia),,,
Culex (Thaiomyia),,,
Culiseta (Climacura),,,
