TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
537ffe60-b5f1-4a9c-bfd8-cd77d66bc984,species,Animalia,t0065856,Hormomya mutabilis,species,Animalia,Brachidontes mutabilis,accepted,TRUE
9c8f05e8-c2ed-4ac3-b3a6-1dc542dc2263,species,Animalia,t0048881,Xenostrobus atratus,species,Animalia,Vignadula mangle,accepted,TRUE
f9f065dc-5bf0-418d-83d4-d26990d7ffb0,species,Animalia,t0036246,Pliarcularia bellula,species,Animalia,Nassarius bellulus,accepted,TRUE
ccb990eb-36c8-4338-96c5-6a2f68c972c5,species,Animalia,t0037675,Reticunassa fuscolineata,species,Animalia,Nassarius fuscolineatus,accepted,TRUE
86d39141-57bb-4fad-b078-719578b8a969,species,Animalia,t0069475,Mitra pellisserpentis,species,Animalia,Nebularia pellisserpentis,accepted,TRUE
c99d2050-3780-4ade-820c-81131df6507c,species,Animalia,t0069478,Mitra vexillum,species,Animalia,Strigatella vexillum,accepted,TRUE
be790daf-24be-4e62-9841-f832cea56f04,species,Animalia,t0038319,Scabricola yokoyamai,species,Animalia,Cancilla isabella,accepted,TRUE
43a2b489-1d7f-46cb-9dcf-ca2aa3f1e350,species,Animalia,t0064374,Gemmula deshayesi,species,Animalia,Unedogemmula deshayesii,accepted,TRUE
43fa9466-6cb2-4097-b0ce-c52936b8a2cc,species,Animalia,t0062129,Drupinia grossularia,species,Animalia,Drupina grossularia,accepted,TRUE
c6ae175a-9ac1-4ba2-ad54-15229eec7d5a,species,Animalia,t0080577,Morula anaxares,species,Animalia,Muricodrupa anaxares,accepted,TRUE
fdd16329-c54f-4ffe-a894-ba7c367dafb9,species,Animalia,t0080938,Nass francolina,species,Animalia,Nassa francolina,accepted,TRUE
246cea67-15ca-471c-8242-7f2f473024ae,species,Animalia,t0065372,Hemiphaedusa minutus,species,Animalia,Hemiphaedusa changi,accepted,TRUE
