TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
2f411365-691d-4d7a-b9b1-52725be63605,species,Animalia,t0029120,Euscyrtus (Osus) hemelytrus,Euscyrtus hemelytrus,accepted,TRUE
f1b9d17c-8cc0-4df9-b1b9-766deadfe3b9,species,Animalia,t0063569,Euscyrtus (Osus) japonicus,Euscyrtus japonicus,accepted,TRUE
70144a21-7868-4c46-946c-8ad4555a0f1d,species,Animalia,t0062166,Duolandrevus (Eulandrevus) guntheri,Duolandrevus guntheri,accepted,TRUE
a52ba642-612d-4f7d-bc14-9893af3ca8f8,species,Animalia,t0062165,Duolandrevus (Duolandrevus) coulonianus,Duolandrevus coulonianus,accepted,FALSE
54b25421-d1f6-4d70-994c-b955bfaa4995,species,Animalia,t0062164,Duolandrevus (Eulandrevus) coriaceus,Duolandrevus coriaceus,accepted,TRUE
f1dc2a11-6580-498a-aa96-d78b48519a9e,species,Animalia,t0083943,Phaloria (Phaloria) kotoshoensis,Phaloria kotoshoensis,accepted,TRUE
0e18c311-a1b8-467b-af62-a9ed03e5e688,species,Animalia,t0033281,Teleogryllus (Macroteleogryllus) mitratus,Teleogryllus mitratus,accepted,TRUE
b6867cd5-0f2d-41b5-91b0-23635eb0934f,species,Animalia,t0048576,Velarifictorus (Velarifictorus) arisanicus,Velarifictorus arisanicus,accepted,TRUE
3d403f02-11f9-4acf-8f43-5bad7dd26021,species,Animalia,t0081019,Metriogryllacris (Metriogryllacris) magna,Metriogryllacris magna,accepted,TRUE
b211fb93-b92a-4550-abfc-f3d8df1669cb,species,Animalia,t0061601,Diestrammena (Diestrammena) ingens,Diestrammena ingens,accepted,TRUE
471cc9d4-ab8c-4ab7-99b9-a82890525aa8,species,Animalia,t0032821,Blattella flavomarginata,Phyllodromia flavomarginata,accepted,TRUE
8ce24559-7752-4583-9b98-b99776a52bd1,species,Animalia,t0046262,Blattella lineata,Phyllodromia lineata,accepted,TRUE
dd7c1534-cd9f-4782-980d-c26b81543c7d,species,Animalia,t0046263,Blattella nigripronota,Phyllodromia nigripronota,accepted,TRUE
df4267e5-4ec0-4739-bc48-b453b4b84b77,species,Animalia,t0046267,Blattella niitakana,Phyllodromia niitakana,accepted,TRUE
27d7fed7-c781-4276-9251-2c3caeee73f2,species,Animalia,t0031872,Blattella fusca,Phyllodromia fusca,accepted,TRUE
5e0ecb60-70f2-4c6c-b0c0-0f881278daca,species,Animalia,t0086415,Velarifictorus (Velarifictorus) ornatus,Velarifictorus ornatus,accepted,TRUE
d4b09403-939c-4895-8cc2-bbd0f61448ae,species,Animalia,t0048578,Velarifictorus (Velarifictorus) micado,Velarifictorus micado,accepted,TRUE
e9514116-3836-4982-ad61-e0806dbadc93,species,Animalia,t0068278,Macronychia (Moschusa) polyodon,Macronychia polyodon,accepted,TRUE
cb12c3af-55fd-4466-b36a-90f06804dfeb,species,Animalia,t0106060,Modicogryllus (Modicogryllus) consobrinus,Modicogryllus consobrinus,accepted,TRUE
5f0519c2-dc9a-49cf-999e-1a9fd98caf44,species,Animalia,t0032307,Pseudoxyroptilatila oenophanes,Pseudoxyroptila oenophanes,accepted,TRUE
b369fe3e-dade-4db0-93cf-c96c99ce6e5e,species,Animalia,t0106042,Mnesibulus (Mnesibulus) okunii,Mnesibulus okunii,accepted,TRUE
2b618b8a-fae5-4ea9-9b84-49c776a81f2c,subgenus,Animalia,t0026312,Bactrocera (Zeugodacus),Zeugodacus,accepted,FALSE
ada33067-434e-4a83-803f-a814d7d1ea11,subgenus,Animalia,t0026313,Utetheisa (Pitasila),Pitasila,accepted,TRUE
548a69c4-64f0-43a5-b285-a1f355050f74,subgenus,Animalia,t0101372,Sesapa (Sesapa),Sesapa,accepted,TRUE
a676a318-3300-4424-9bc4-580d1dc7f36b,subgenus,Animalia,t0101385,Atomaria (Atomaria),Atomaria,accepted,TRUE
